Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
04-MAY-2026,20MICRONS,179.20,176.84,0.0133,0.0294,0.0293,0.5598
04-MAY-2026,21STCENMGM,36.69,35.19,0.0417,0.0199,0.0201,0.3840
04-MAY-2026,360ONE,1066.50,1034.65,0.0303,0.0219,0.0219,0.4184
04-MAY-2026,3BBLACKBIO,1255.60,1203.00,0.0428,0.0335,0.0335,0.6400
04-MAY-2026,3IINFOLTD,17.33,17.46,-0.0075,0.0253,0.0252,0.4814
04-MAY-2026,3MINDIA,33080.00,33300.00,-0.0066,0.0190,0.0189,0.3611
04-MAY-2026,3PLAND,34.22,35.46,-0.0356,0.0277,0.0277,0.5292
04-MAY-2026,500012,39.64,39.61,0.0008,0.0272,0.0271,0.5177
04-MAY-2026,500014,4.11,4.18,-0.0169,0.0299,0.0299,0.5712
04-MAY-2026,500016,7.96,8.49,-0.0645,0.0324,0.0327,0.6247
04-MAY-2026,500028,32.76,32.41,0.0107,0.0311,0.0311,0.5942
04-MAY-2026,500051,4.19,4.11,0.0193,0.0229,0.0229,0.4375
04-MAY-2026,500058,14.53,14.60,-0.0048,0.0317,0.0317,0.6056
04-MAY-2026,500069,266.65,263.00,0.0138,0.0247,0.0247,0.4719
04-MAY-2026,500142,10.04,10.48,-0.0429,0.0414,0.0414,0.7909
04-MAY-2026,500143,709.90,710.00,-0.0001,0.0352,0.0351,0.6706
04-MAY-2026,500166,184.55,173.35,0.0626,0.0219,0.0223,0.4260
04-MAY-2026,500170,24.64,25.04,-0.0161,0.0316,0.0316,0.6037
04-MAY-2026,500178,7.15,7.15,0.0000,0.0108,0.0108,0.2063
04-MAY-2026,500192,1.88,1.86,0.0107,0.0337,0.0336,0.6419
04-MAY-2026,500202,8.00,8.00,0.0000,0.0341,0.0340,0.6496
04-MAY-2026,500206,72.49,71.00,0.0208,0.0346,0.0346,0.6610
04-MAY-2026,500213,322.55,333.30,-0.0328,0.0248,0.0248,0.4738
04-MAY-2026,500220,160.00,160.00,0.0000,0.0304,0.0303,0.5789
04-MAY-2026,500236,27.69,26.38,0.0485,0.1090,0.1088,2.0786
04-MAY-2026,500239,15.60,16.18,-0.0365,0.0324,0.0324,0.6190
04-MAY-2026,500240,245.10,244.90,0.0008,0.0322,0.0321,0.6133
04-MAY-2026,500246,47.64,50.04,-0.0491,0.0422,0.0422,0.8062
04-MAY-2026,500248,5.48,5.48,0.0000,0.0265,0.0264,0.5044
04-MAY-2026,500270,125.70,124.65,0.0084,0.0230,0.0229,0.4375
04-MAY-2026,500277,6.53,6.87,-0.0508,0.0414,0.0415,0.7929
04-MAY-2026,500285,12.71,13.36,-0.0499,0.0369,0.0370,0.7069
04-MAY-2026,500298,658.85,606.00,0.0836,0.0285,0.0291,0.5560
04-MAY-2026,500319,82.96,81.38,0.0192,0.0276,0.0276,0.5273
04-MAY-2026,500322,113.00,113.00,0.0000,0.0355,0.0354,0.6763
04-MAY-2026,500346,52.34,53.97,-0.0307,0.0342,0.0342,0.6534
04-MAY-2026,500357,12.51,12.97,-0.0361,0.0337,0.0337,0.6438
04-MAY-2026,500358,15.36,15.36,0.0000,0.0232,0.0232,0.4432
04-MAY-2026,500360,200.05,194.80,0.0266,0.0358,0.0358,0.6840
04-MAY-2026,500370,31.88,31.50,0.0120,0.0359,0.0358,0.6840
04-MAY-2026,500371,31.35,30.74,0.0196,0.0323,0.0322,0.6152
04-MAY-2026,500388,120.55,126.82,-0.0507,0.0334,0.0336,0.6419
04-MAY-2026,500389,7.91,7.54,0.0479,0.0329,0.0330,0.6305
04-MAY-2026,500399,154.90,147.55,0.0486,0.1403,0.1400,2.6747
04-MAY-2026,500421,17.56,16.96,0.0348,0.0330,0.0330,0.6305
04-MAY-2026,500422,168.00,165.00,0.0180,0.0355,0.0354,0.6763
04-MAY-2026,500426,1.81,1.86,-0.0272,0.0367,0.0366,0.6992
04-MAY-2026,500449,33.20,32.27,0.0284,0.0339,0.0338,0.6457
04-MAY-2026,500450,465.50,490.00,-0.0513,0.0332,0.0333,0.6362
04-MAY-2026,500458,28.70,29.49,-0.0272,0.0377,0.0377,0.7203
04-MAY-2026,500500,17.64,16.80,0.0488,0.0344,0.0345,0.6591
04-MAY-2026,501110,7.15,7.15,0.0000,0.0005,0.0005,0.0096
04-MAY-2026,501111,12.14,12.14,0.0000,0.0031,0.0031,0.0592
04-MAY-2026,501144,198.50,189.65,0.0456,0.0203,0.0205,0.3917
04-MAY-2026,501148,305.45,311.65,-0.0201,0.0151,0.0151,0.2885
04-MAY-2026,501151,6594.75,6280.75,0.0488,0.0213,0.0216,0.4127
04-MAY-2026,501270,1.47,1.40,0.0488,0.0055,0.0065,0.1242
04-MAY-2026,501311,21.28,21.28,0.0000,0.0316,0.0315,0.6018
04-MAY-2026,501314,0.65,0.67,-0.0303,0.0387,0.0387,0.7394
04-MAY-2026,501351,98.53,96.60,0.0198,0.0313,0.0312,0.5961
04-MAY-2026,501370,131.00,130.96,0.0003,0.0353,0.0352,0.6725
04-MAY-2026,501386,19.21,19.21,0.0000,0.0136,0.0136,0.2598
04-MAY-2026,501391,572.85,570.00,0.0050,0.0313,0.0312,0.5961
04-MAY-2026,501430,1782.00,1782.00,0.0000,0.0261,0.0261,0.4986
04-MAY-2026,501477,233.00,233.00,0.0000,0.0313,0.0312,0.5961
04-MAY-2026,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
04-MAY-2026,501622,48.17,45.88,0.0487,0.0268,0.0270,0.5158
04-MAY-2026,501630,24.48,24.48,0.0000,0.0017,0.0017,0.0325
04-MAY-2026,501700,8.05,8.32,-0.0330,0.0314,0.0314,0.5999
04-MAY-2026,501833,27.86,26.73,0.0414,0.0331,0.0332,0.6343
04-MAY-2026,501848,48.10,48.17,-0.0015,0.0376,0.0375,0.7164
04-MAY-2026,501945,8.36,8.53,-0.0201,0.0142,0.0143,0.2732
04-MAY-2026,502015,25.80,25.91,-0.0043,0.0337,0.0336,0.6419
04-MAY-2026,502250,700.00,669.00,0.0453,0.0320,0.0321,0.6133
04-MAY-2026,502271,15.16,15.95,-0.0508,0.0189,0.0192,0.3668
04-MAY-2026,502281,6.90,7.10,-0.0286,0.0370,0.0370,0.7069
04-MAY-2026,502294,41.50,41.50,0.0000,0.0452,0.0451,0.8616
04-MAY-2026,502445,40.93,43.25,-0.0551,0.0432,0.0433,0.8272
04-MAY-2026,502587,52.67,53.30,-0.0119,0.0283,0.0282,0.5388
04-MAY-2026,502589,112.00,112.00,0.0000,0.0299,0.0298,0.5693
04-MAY-2026,502850,15.03,15.03,0.0000,0.0050,0.0050,0.0955
04-MAY-2026,502865,339.55,347.20,-0.0223,0.0286,0.0286,0.5464
04-MAY-2026,502873,106.80,106.52,0.0026,0.0304,0.0304,0.5808
04-MAY-2026,502893,69.65,69.65,0.0000,0.0427,0.0426,0.8139
04-MAY-2026,502901,79.98,78.11,0.0237,0.0270,0.0269,0.5139
04-MAY-2026,502933,103.95,104.00,-0.0005,0.0317,0.0317,0.6056
04-MAY-2026,502958,7550.00,7500.05,0.0066,0.0213,0.0212,0.4050
04-MAY-2026,503092,27.21,27.32,-0.0040,0.0494,0.0493,0.9419
04-MAY-2026,503127,4590.05,4740.50,-0.0323,0.0264,0.0265,0.5063
04-MAY-2026,503229,153.60,151.50,0.0138,0.0328,0.0328,0.6266
04-MAY-2026,503349,5850.00,5800.00,0.0086,0.0266,0.0265,0.5063
04-MAY-2026,503622,7.71,7.71,0.0000,0.0020,0.0020,0.0382
04-MAY-2026,503624,8.91,8.72,0.0216,0.0426,0.0425,0.8120
04-MAY-2026,503626,13.37,12.74,0.0483,0.0068,0.0076,0.1452
04-MAY-2026,503635,401.85,422.95,-0.0512,0.0299,0.0301,0.5751
04-MAY-2026,503639,49.44,48.48,0.0196,0.0353,0.0353,0.6744
04-MAY-2026,503641,1.86,1.89,-0.0160,0.0390,0.0389,0.7432
04-MAY-2026,503657,13.40,13.24,0.0120,0.0317,0.0316,0.6037
04-MAY-2026,503659,95.95,95.95,0.0000,0.0290,0.0289,0.5521
04-MAY-2026,503663,1.05,1.06,-0.0095,0.0367,0.0366,0.6992
04-MAY-2026,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
04-MAY-2026,503675,1.12,1.08,0.0364,0.0415,0.0415,0.7929
04-MAY-2026,503685,14.59,14.98,-0.0264,0.0336,0.0336,0.6419
04-MAY-2026,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
04-MAY-2026,503696,55.00,55.00,0.0000,0.0000,0.0000,0.0000
04-MAY-2026,503772,69.26,69.26,0.0000,0.0286,0.0285,0.5445
04-MAY-2026,503776,62.64,59.66,0.0487,0.0420,0.0420,0.8024
04-MAY-2026,503804,335.40,341.40,-0.0177,0.0258,0.0257,0.4910
04-MAY-2026,503816,34.89,35.01,-0.0034,0.0334,0.0333,0.6362
04-MAY-2026,503837,15.50,15.30,0.0130,0.0352,0.0351,0.6706
04-MAY-2026,503863,17.91,17.91,0.0000,0.0270,0.0269,0.5139
04-MAY-2026,504028,71.73,69.35,0.0337,0.0262,0.0262,0.5006
04-MAY-2026,504076,74.60,80.27,-0.0733,0.0371,0.0374,0.7145
04-MAY-2026,504080,944.35,966.65,-0.0233,0.0359,0.0358,0.6840
04-MAY-2026,504084,891.70,899.10,-0.0083,0.0349,0.0348,0.6649
04-MAY-2026,504092,668.25,636.45,0.0488,0.0317,0.0318,0.6075
04-MAY-2026,504093,293.75,289.45,0.0147,0.0224,0.0224,0.4280
04-MAY-2026,504132,889.00,904.20,-0.0170,0.0301,0.0301,0.5751
04-MAY-2026,504176,634.30,620.45,0.0221,0.0298,0.0297,0.5674
04-MAY-2026,504180,54.80,53.76,0.0192,0.0300,0.0299,0.5712
04-MAY-2026,504240,439.50,427.20,0.0284,0.0351,0.0351,0.6706
04-MAY-2026,504258,836.10,852.10,-0.0190,0.0243,0.0243,0.4643
04-MAY-2026,504273,18.85,17.97,0.0478,0.0282,0.0283,0.5407
04-MAY-2026,504340,7.71,7.56,0.0196,0.0174,0.0174,0.3324
04-MAY-2026,504346,9542.70,9639.05,-0.0100,0.0000,0.0007,0.0134
04-MAY-2026,504356,10.60,10.11,0.0473,0.0349,0.0350,0.6687
04-MAY-2026,504365,4.11,4.11,0.0000,0.0005,0.0005,0.0096
04-MAY-2026,504369,0.49,0.49,0.0000,0.0079,0.0079,0.1509
04-MAY-2026,504375,325.95,325.95,0.0000,0.0174,0.0173,0.3305
04-MAY-2026,504378,2.59,2.59,0.0000,0.0315,0.0314,0.5999
04-MAY-2026,504380,50.12,52.99,-0.0557,0.0360,0.0361,0.6897
04-MAY-2026,504392,23.69,24.17,-0.0201,0.0352,0.0351,0.6706
04-MAY-2026,504397,79.45,83.60,-0.0509,0.0311,0.0312,0.5961
04-MAY-2026,504398,75.04,75.04,0.0000,0.0135,0.0135,0.2579
04-MAY-2026,504605,3218.70,3210.00,0.0027,0.0265,0.0265,0.5063
04-MAY-2026,504646,584.10,580.85,0.0056,0.0323,0.0322,0.6152
04-MAY-2026,504648,48.19,49.00,-0.0167,0.0440,0.0439,0.8387
04-MAY-2026,504697,6.50,6.38,0.0186,0.0468,0.0467,0.8922
04-MAY-2026,504731,110.20,104.07,0.0572,0.0285,0.0287,0.5483
04-MAY-2026,504746,1023.90,1077.75,-0.0513,0.0265,0.0267,0.5101
04-MAY-2026,504810,83.99,84.00,-0.0001,0.0446,0.0445,0.8502
04-MAY-2026,504840,1357.55,1429.00,-0.0513,0.0256,0.0258,0.4929
04-MAY-2026,504903,20.71,21.05,-0.0163,0.0324,0.0323,0.6171
04-MAY-2026,504908,390.00,396.90,-0.0175,0.0387,0.0386,0.7375
04-MAY-2026,504959,1815.40,1832.10,-0.0092,0.0204,0.0204,0.3897
04-MAY-2026,504988,730.00,695.05,0.0491,0.0264,0.0266,0.5082
04-MAY-2026,504998,0.54,0.54,0.0000,0.0116,0.0116,0.2216
04-MAY-2026,505036,1989.60,1902.40,0.0448,0.0273,0.0274,0.5235
04-MAY-2026,505100,14.40,14.40,0.0000,0.0107,0.0107,0.2044
04-MAY-2026,505212,118.10,123.50,-0.0447,0.0352,0.0352,0.6725
04-MAY-2026,505216,2818.00,2725.15,0.0335,0.0273,0.0273,0.5216
04-MAY-2026,505250,66.75,66.25,0.0075,0.0332,0.0331,0.6324
04-MAY-2026,505285,969.90,950.90,0.0198,0.0128,0.0128,0.2445
04-MAY-2026,505299,528.95,528.30,0.0012,0.0410,0.0409,0.7814
04-MAY-2026,505302,2100.00,2100.00,0.0000,0.0314,0.0314,0.5999
04-MAY-2026,505320,177.80,177.80,0.0000,0.0128,0.0128,0.2445
04-MAY-2026,505336,0.39,0.39,0.0000,0.0419,0.0418,0.7986
04-MAY-2026,505343,0.47,0.46,0.0215,0.0388,0.0388,0.7413
04-MAY-2026,505358,202.80,178.40,0.1282,0.0287,0.0300,0.5731
04-MAY-2026,505502,1.55,1.52,0.0195,0.0166,0.0166,0.3171
04-MAY-2026,505504,284.50,295.70,-0.0386,0.0246,0.0247,0.4719
04-MAY-2026,505515,13.34,12.86,0.0366,0.0395,0.0395,0.7546
04-MAY-2026,505520,101.34,101.34,0.0000,0.0118,0.0118,0.2254
04-MAY-2026,505523,0.37,0.37,0.0000,0.0326,0.0326,0.6228
04-MAY-2026,505585,14.13,14.13,0.0000,0.0038,0.0038,0.0726
04-MAY-2026,505594,32.80,32.80,0.0000,0.0000,0.0000,0.0000
04-MAY-2026,505650,17.84,17.68,0.0090,0.0403,0.0402,0.7680
04-MAY-2026,505685,26.38,26.38,0.0000,0.0559,0.0558,1.0661
04-MAY-2026,505690,909.65,917.00,-0.0080,0.0360,0.0359,0.6859
04-MAY-2026,505693,10.00,9.89,0.0111,0.0342,0.0341,0.6515
04-MAY-2026,505703,281.60,284.35,-0.0097,0.0248,0.0248,0.4738
04-MAY-2026,505712,210.05,212.30,-0.0107,0.0285,0.0284,0.5426
04-MAY-2026,505720,127.05,129.62,-0.0200,0.0320,0.0319,0.6094
04-MAY-2026,505737,508.65,504.65,0.0079,0.0290,0.0290,0.5540
04-MAY-2026,505750,253.20,255.80,-0.0102,0.0336,0.0335,0.6400
04-MAY-2026,505797,23.11,24.27,-0.0490,0.0209,0.0212,0.4050
04-MAY-2026,505807,683.50,683.50,0.0000,0.0239,0.0238,0.4547
04-MAY-2026,505827,365.50,351.35,0.0395,0.0186,0.0188,0.3592
04-MAY-2026,505840,26.42,25.45,0.0374,0.0392,0.0392,0.7489
04-MAY-2026,505893,894.35,874.45,0.0225,0.0332,0.0332,0.6343
04-MAY-2026,505978,897.20,886.25,0.0123,0.0277,0.0277,0.5292
04-MAY-2026,506003,56.80,55.29,0.0269,0.0334,0.0333,0.6362
04-MAY-2026,506042,179.25,179.25,0.0000,0.0574,0.0572,1.0928
04-MAY-2026,506105,69.73,69.60,0.0019,0.0353,0.0352,0.6725
04-MAY-2026,506122,61.00,61.10,-0.0016,0.0331,0.0330,0.6305
04-MAY-2026,506128,161.80,160.00,0.0112,0.0330,0.0329,0.6286
04-MAY-2026,506134,9.51,9.21,0.0321,0.0359,0.0359,0.6859
04-MAY-2026,506161,5.01,5.01,0.0000,0.0029,0.0029,0.0554
04-MAY-2026,506166,63.18,62.99,0.0030,0.1786,0.1782,3.4045
04-MAY-2026,506178,17.01,17.01,0.0000,0.0012,0.0012,0.0229
04-MAY-2026,506180,499.30,525.55,-0.0512,0.0311,0.0312,0.5961
04-MAY-2026,506186,16.01,16.85,-0.0511,0.0363,0.0363,0.6935
04-MAY-2026,506190,52.50,52.50,0.0000,0.0000,0.0000,0.0000
04-MAY-2026,506196,4.25,4.25,0.0000,0.0005,0.0005,0.0096
04-MAY-2026,506313,322.25,322.25,0.0000,0.0099,0.0098,0.1872
04-MAY-2026,506365,123.00,123.80,-0.0065,0.0401,0.0400,0.7642
04-MAY-2026,506373,91.69,89.90,0.0197,0.0258,0.0257,0.4910
04-MAY-2026,506520,6.77,6.61,0.0239,0.0289,0.0289,0.5521
04-MAY-2026,506528,4340.10,4337.05,0.0007,0.0281,0.0280,0.5349
04-MAY-2026,506530,1210.00,1159.55,0.0426,0.0243,0.0244,0.4662
04-MAY-2026,506543,11.40,12.00,-0.0513,0.0343,0.0344,0.6572
04-MAY-2026,506579,108.05,109.87,-0.0167,0.0347,0.0346,0.6610
04-MAY-2026,506597,596.00,590.45,0.0094,0.0380,0.0379,0.7241
04-MAY-2026,506605,2035.00,2030.00,0.0025,0.0312,0.0311,0.5942
04-MAY-2026,506640,147.75,147.66,0.0006,0.0409,0.0408,0.7795
04-MAY-2026,506734,91.73,89.59,0.0236,0.0248,0.0248,0.4738
04-MAY-2026,506808,55.94,56.00,-0.0011,0.0303,0.0302,0.5770
04-MAY-2026,506854,2444.85,2524.15,-0.0319,0.0307,0.0307,0.5865
04-MAY-2026,506858,58.84,59.04,-0.0034,0.0287,0.0286,0.5464
04-MAY-2026,506863,103.80,105.87,-0.0197,0.0241,0.0241,0.4604
04-MAY-2026,506867,31.08,31.08,0.0000,0.0010,0.0010,0.0191
04-MAY-2026,506906,45.60,45.22,0.0084,0.0490,0.0489,0.9342
04-MAY-2026,506919,147.10,141.05,0.0420,0.0352,0.0353,0.6744
04-MAY-2026,506935,60.40,60.40,0.0000,0.0256,0.0256,0.4891
04-MAY-2026,506945,2.59,2.59,0.0000,0.0069,0.0068,0.1299
04-MAY-2026,506947,242.20,230.70,0.0486,0.0289,0.0290,0.5540
04-MAY-2026,506975,8.30,8.30,0.0000,0.0301,0.0301,0.5751
04-MAY-2026,506979,153.90,147.70,0.0411,0.0319,0.0319,0.6094
04-MAY-2026,506981,125.05,127.70,-0.0210,0.0298,0.0298,0.5693
04-MAY-2026,507155,124.80,125.50,-0.0056,0.0281,0.0281,0.5368
04-MAY-2026,507180,6.86,6.75,0.0162,0.0414,0.0413,0.7890
04-MAY-2026,507265,187.15,187.15,0.0000,0.0332,0.0331,0.6324
04-MAY-2026,507300,986.00,950.00,0.0372,0.0263,0.0264,0.5044
04-MAY-2026,507474,43.80,41.67,0.0499,0.0311,0.0313,0.5980
04-MAY-2026,507486,48.50,46.57,0.0406,0.0337,0.0338,0.6457
04-MAY-2026,507498,40.88,39.51,0.0341,0.0279,0.0279,0.5330
04-MAY-2026,507515,17.66,16.82,0.0487,0.0351,0.0352,0.6725
04-MAY-2026,507530,21.03,21.03,0.0000,0.0034,0.0034,0.0650
04-MAY-2026,507598,108.70,111.80,-0.0281,0.0304,0.0304,0.5808
04-MAY-2026,507609,21.60,21.38,0.0102,0.0322,0.0321,0.6133
04-MAY-2026,507621,61.99,63.82,-0.0291,0.0250,0.0251,0.4795
04-MAY-2026,507645,11400.05,11301.00,0.0087,0.0224,0.0224,0.4280
04-MAY-2026,507663,3.76,3.76,0.0000,0.0082,0.0082,0.1567
04-MAY-2026,507690,216.25,221.50,-0.0240,0.0332,0.0331,0.6324
04-MAY-2026,507753,106.65,101.01,0.0543,0.0253,0.0255,0.4872
04-MAY-2026,507759,14.60,14.38,0.0152,0.0459,0.0458,0.8750
04-MAY-2026,507808,36.10,36.10,0.0000,0.0235,0.0234,0.4471
04-MAY-2026,507813,70.00,69.21,0.0113,0.0328,0.0327,0.6247
04-MAY-2026,507817,160.00,152.95,0.0451,0.0328,0.0328,0.6266
04-MAY-2026,507828,7.38,7.42,-0.0054,0.0366,0.0365,0.6973
04-MAY-2026,507833,3.95,3.98,-0.0076,0.0282,0.0281,0.5368
04-MAY-2026,507852,102.90,104.18,-0.0124,0.0294,0.0293,0.5598
04-MAY-2026,507872,40.60,39.58,0.0254,0.0293,0.0293,0.5598
04-MAY-2026,507912,201.70,204.95,-0.0160,0.0298,0.0297,0.5674
04-MAY-2026,507917,60.99,61.00,-0.0002,0.0309,0.0308,0.5884
04-MAY-2026,507938,23.50,23.50,0.0000,0.0212,0.0211,0.4031
04-MAY-2026,507946,18.79,17.25,0.0855,0.0373,0.0377,0.7203
04-MAY-2026,507948,76.86,80.90,-0.0512,0.0339,0.0340,0.6496
04-MAY-2026,507952,3.15,3.15,0.0000,0.0000,0.0000,0.0000
04-MAY-2026,507960,197.85,194.00,0.0197,0.0273,0.0273,0.5216
04-MAY-2026,507962,5.05,5.21,-0.0312,0.0295,0.0295,0.5636
04-MAY-2026,507966,55.08,54.30,0.0143,0.0464,0.0463,0.8846
04-MAY-2026,507968,36.01,36.74,-0.0201,0.0288,0.0288,0.5502
04-MAY-2026,507970,35.00,36.00,-0.0282,0.0348,0.0348,0.6649
04-MAY-2026,507981,67.00,66.75,0.0037,0.0275,0.0274,0.5235
04-MAY-2026,507984,652.75,652.75,0.0000,0.0195,0.0195,0.3725
04-MAY-2026,507987,3.99,3.99,0.0000,0.0042,0.0042,0.0802
04-MAY-2026,507998,178.40,186.00,-0.0417,0.0339,0.0340,0.6496
04-MAY-2026,508494,39.30,38.40,0.0232,0.0248,0.0248,0.4738
04-MAY-2026,508571,139.90,144.95,-0.0355,0.0385,0.0385,0.7355
04-MAY-2026,508664,12.20,12.12,0.0066,0.0319,0.0318,0.6075
04-MAY-2026,508807,689.45,689.95,-0.0007,0.0232,0.0231,0.4413
04-MAY-2026,508860,0.74,0.76,-0.0267,0.0131,0.0132,0.2522
04-MAY-2026,508867,21.13,21.13,0.0000,0.0126,0.0126,0.2407
04-MAY-2026,508875,575.95,560.00,0.0281,0.0313,0.0313,0.5980
04-MAY-2026,508905,104.47,99.50,0.0487,0.0408,0.0409,0.7814
04-MAY-2026,508918,42.24,45.04,-0.0642,0.0390,0.0391,0.7470
04-MAY-2026,508922,4.80,4.89,-0.0186,0.0310,0.0310,0.5923
04-MAY-2026,508929,608.35,608.35,0.0000,0.0165,0.0165,0.3152
04-MAY-2026,508941,479.80,478.00,0.0038,0.0159,0.0158,0.3019
04-MAY-2026,508956,12.47,12.40,0.0056,0.0324,0.0323,0.6171
04-MAY-2026,508961,242.00,233.65,0.0351,0.0290,0.0291,0.5560
04-MAY-2026,508969,3.39,3.25,0.0422,0.0287,0.0288,0.5502
04-MAY-2026,508980,7.60,7.51,0.0119,0.0360,0.0359,0.6859
04-MAY-2026,508993,2.45,2.45,0.0000,0.0000,0.0000,0.0000
04-MAY-2026,509003,0.13,0.13,0.0000,0.0000,0.0000,0.0000
04-MAY-2026,509015,15.84,16.67,-0.0511,0.0372,0.0373,0.7126
04-MAY-2026,509024,8.20,8.58,-0.0453,0.0705,0.0704,1.3450
04-MAY-2026,509026,86.90,78.60,0.1004,0.0468,0.0472,0.9018
04-MAY-2026,509038,13.00,12.94,0.0046,0.0152,0.0152,0.2904
04-MAY-2026,509040,207.00,210.05,-0.0146,0.0327,0.0326,0.6228
04-MAY-2026,509046,49.40,51.99,-0.0511,0.0317,0.0318,0.6075
04-MAY-2026,509051,0.65,0.64,0.0155,0.0372,0.0371,0.7088
04-MAY-2026,509053,7.00,7.08,-0.0114,0.0262,0.0261,0.4986
04-MAY-2026,509073,12.45,12.37,0.0064,0.0400,0.0399,0.7623
04-MAY-2026,509084,126.30,126.30,0.0000,0.0217,0.0216,0.4127
04-MAY-2026,509099,71.34,71.34,0.0000,0.0092,0.0091,0.1739
04-MAY-2026,509162,91.65,91.53,0.0013,0.0275,0.0274,0.5235
04-MAY-2026,509196,71.90,72.01,-0.0015,0.0284,0.0283,0.5407
04-MAY-2026,509423,37.88,38.47,-0.0155,0.0370,0.0369,0.7050
04-MAY-2026,509438,10001.45,10000.80,0.0001,0.0162,0.0162,0.3095
04-MAY-2026,509449,35.62,35.65,-0.0008,0.0371,0.0370,0.7069
04-MAY-2026,509470,20657.00,21100.00,-0.0212,0.0254,0.0254,0.4853
04-MAY-2026,509472,351.00,340.00,0.0318,0.0292,0.0292,0.5579
04-MAY-2026,509486,75.05,74.48,0.0076,0.0309,0.0308,0.5884
04-MAY-2026,509525,918.80,908.65,0.0111,0.0201,0.0201,0.3840
04-MAY-2026,509563,23.67,24.03,-0.0151,0.0370,0.0369,0.7050
04-MAY-2026,509597,707.90,715.00,-0.0100,0.0305,0.0304,0.5808
04-MAY-2026,509650,38.74,38.74,0.0000,0.0007,0.0007,0.0134
