SYMBOL,CLOSE_PRICE,MOMENTUM_PRICE,VOLATILITY_DAILY,FINAL_SCORE,RECOMMENDATION
IFBAGRO,1039.6,19.997691464188826,0.0378,100.0,STRONG_BUY
DBREALTY,124.28,19.99613787776384,0.0352,99.49885040954162,STRONG_BUY
KMEW,2036.2,15.078557703176216,0.0365,98.00476163021386,STRONG_BUY
CEMPRO,956.45,17.319840539711752,0.0328,96.83599965134499,STRONG_BUY
UNIVCABLES,968.25,15.618842915994978,0.0326,96.21750386545044,STRONG_BUY
STANLEY,166.35,19.995671932482146,0.0268,94.97233797959478,STRONG_BUY
PRIMO,25.56,11.22715404699738,0.0288,94.51151674868788,STRONG_BUY
MEESHO,217.04,12.380261999689326,0.0259,92.57814442913143,STRONG_BUY
RRKABEL,1775.2,12.998090388287716,0.0242,92.41974017333925,STRONG_BUY
IDEAFORGE,731.0,19.99343401181877,0.035,92.08295017855686,STRONG_BUY
