SYMBOL,CLOSE_PRICE,MOMENTUM_PRICE,MOMENTUM_INTRADAY,MOMENTUM_VOLUME,VOLATILITY_DAILY,FINAL_SCORE,RECOMMENDATION
IFBAGRO,1039.6,19.997691464188826,15.5111111111111,100.0,0.0378,100.0,STRONG_BUY
DBREALTY,124.28,19.99613787776384,15.074074074074076,100.0,0.0352,99.49885040954162,STRONG_BUY
KMEW,2036.2,15.078557703176216,12.497237569060776,100.0,0.0365,98.00476163021386,STRONG_BUY
CEMPRO,956.45,17.319840539711752,13.022156573116698,100.0,0.0328,96.83599965134499,STRONG_BUY
UNIVCABLES,968.25,15.618842915994978,13.818032208769242,100.0,0.0326,96.21750386545044,STRONG_BUY
STANLEY,166.35,19.995671932482146,19.46140035906642,100.0,0.0268,94.97233797959478,STRONG_BUY
PRIMO,25.56,11.22715404699738,11.22715404699738,100.0,0.0288,94.51151674868788,STRONG_BUY
MEESHO,217.04,12.380261999689326,11.296856571457875,100.0,0.0259,92.57814442913143,STRONG_BUY
RRKABEL,1775.2,12.998090388287716,10.260869565217394,100.0,0.0242,92.41974017333925,STRONG_BUY
IDEAFORGE,731.0,19.99343401181877,2.9577464788732395,100.0,0.035,92.08295017855686,STRONG_BUY
VARDHACRLC,42.58,13.941664436713944,8.567057623661396,100.0,0.026,91.94580305665242,STRONG_BUY
DCMSRIND,48.34,13.128949216007504,10.922441486920619,100.0,0.0269,91.9053440079687,STRONG_BUY
IBULLSLTD,21.7,9.984794728839324,3.33333333333333,100.0,0.0401,90.47412786522686,STRONG_BUY
SUNFLAG,321.15,9.753596937903682,9.57011258955986,100.0,0.0279,90.39426642766794,STRONG_BUY
INNOVACAP,844.4,12.279768632404764,6.886075949367086,100.0,0.0244,90.29975154506145,STRONG_BUY
GOPAL,298.85,9.992638940007375,9.871323529411773,100.0,0.0227,90.06430865097695,STRONG_BUY
DCMNVL,169.58,18.920056100981782,22.34326527667556,47.51853548817061,0.0309,89.30593689496975,STRONG_BUY
AARTIPHARM,806.1,8.895643363728473,7.286883609502895,100.0,0.0274,88.66211816925195,STRONG_BUY
BOMDYEING,126.08,11.516009198655578,7.760683760683759,100.0,0.0285,88.43180302903488,STRONG_BUY
BALAMINES,1455.5,9.136580062235211,7.022058823529412,100.0,0.0273,87.32823627073333,STRONG_BUY
LALPATHLAB,1573.4,15.081919251023992,13.161680092059838,100.0,0.019,87.26376212357555,STRONG_BUY
MANORG,537.0,17.647058823529417,13.795295613477437,34.69607353104521,0.032,86.61892771414588,STRONG_BUY
SIS,400.5,12.674075116050082,8.272506082725068,100.0,0.02,86.16742007408102,STRONG_BUY
EPIGRAL,1328.7,9.299551680171097,8.465306122448983,100.0,0.0282,85.79281630561874,STRONG_BUY
ONEPOINT,58.06,7.69801521053609,7.717996289424868,100.0,0.0303,85.70590685386763,STRONG_BUY
ATAM,79.02,15.290341406477953,11.295774647887319,46.08741530600911,0.0311,85.49264385131038,STRONG_BUY
WCIL,111.67,8.702423829455853,7.271853986551401,97.51575863601022,0.0247,85.2450998148077,STRONG_BUY
ORIENTBELL,339.15,10.942100098135423,10.364464692482905,29.63699600133289,0.0317,85.10967567478167,STRONG_BUY
GAYAHWS,2.35,4.444444444444448,8.294930875576044,100.0,0.0371,85.0489110138277,STRONG_BUY
AVALON,1140.0,7.826909434854576,7.032203548962548,100.0,0.031,84.74225138859782,STRONG_BUY
